enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
10990,city_103,0.92,Female,No relevent experience,Full time course,High School,,16,,,never,138,1
28403,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,Oct-49,Early Stage Startup,1,86,0
33262,city_74,0.579,,Has relevent experience,Full time course,Graduate,STEM,8,,,1,105,0
30496,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,>20,100-500,Pvt Ltd,>4,11,0
31714,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,3,,,1,51,0
28909,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,No Major,<1,100-500,Pvt Ltd,1,76,0
32397,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,1,16,0
23952,city_83,0.923,,Has relevent experience,no_enrollment,Graduate,Other,>20,100-500,Pvt Ltd,>4,151,0
14377,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,<10,Early Stage Startup,4,18,0
2391,city_160,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,,,2,32,0
20582,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,1,26,0
7757,city_21,0.624,Male,Has relevent experience,,Graduate,STEM,3,,,1,198,0
16543,city_114,0.926,Other,Has relevent experience,no_enrollment,,,>20,,,never,154,0
22025,city_65,0.802,Male,No relevent experience,no_enrollment,High School,,<1,,,2,40,1
15031,city_104,0.924,Male,No relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,8,0
47,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,14,0
2766,city_98,0.949,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,107,0
19532,city_114,0.926,,Has relevent experience,no_enrollment,Masters,STEM,>20,50-99,Pvt Ltd,4,43,0
6604,city_173,0.878,,Has relevent experience,no_enrollment,Masters,STEM,>20,<10,Pvt Ltd,2,4,0
21222,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,19,,,3,36,0
18673,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,500-999,,1,54,0
9223,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,2,<10,Early Stage Startup,2,89,1
18445,city_114,0.926,,Has relevent experience,no_enrollment,High School,,7,Oct-49,Pvt Ltd,>4,111,0
31047,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,6,,,1,17,1
9006,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,100-500,Pvt Ltd,never,87,1
21719,city_36,0.893,Male,Has relevent experience,no_enrollment,Masters,STEM,4,500-999,Public Sector,1,18,0
31364,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,>20,5000-9999,Pvt Ltd,1,106,0
18477,city_28,0.939,Male,Has relevent experience,no_enrollment,High School,,14,50-99,Funded Startup,3,11,0
28516,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,3,100-500,NGO,2,34,1
17098,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,2,184,0
25125,city_100,0.887,Male,Has relevent experience,no_enrollment,Masters,STEM,11,50-99,Funded Startup,2,12,0
25719,city_103,0.92,Male,Has relevent experience,no_enrollment,Phd,STEM,2,<10,Early Stage Startup,1,26,0
32935,city_53,0.74,Male,No relevent experience,no_enrollment,Masters,STEM,14,1000-4999,NGO,1,196,1
7819,city_21,0.624,,No relevent experience,Full time course,Graduate,STEM,6,,,never,12,0
9884,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Humanities,13,<10,Pvt Ltd,4,30,1
8037,city_41,0.827,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,,,1,109,0
4699,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,12,1
29980,city_11,0.55,Female,Has relevent experience,no_enrollment,Graduate,STEM,9,Oct-49,Funded Startup,1,23,0
11531,city_114,0.926,Male,No relevent experience,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,1,97,0
18887,city_69,0.856,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,50-99,Pvt Ltd,never,62,0
33318,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Other,5,100-500,Pvt Ltd,>4,91,1
5892,city_159,0.843,Male,Has relevent experience,Part time course,Graduate,STEM,6,<10,Pvt Ltd,1,24,1
5662,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,9,,Pvt Ltd,2,8,1
17916,city_73,0.754,Male,Has relevent experience,Full time course,Graduate,STEM,4,<10,Pvt Ltd,1,15,0
1039,city_83,0.923,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,20,0
20823,city_114,0.926,Male,Has relevent experience,no_enrollment,Masters,STEM,16,100-500,Pvt Ltd,>4,37,0
7734,city_19,0.682,,Has relevent experience,no_enrollment,Graduate,Other,6,50-99,Pvt Ltd,1,202,0
8910,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,1,9,1
32588,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,216,1
4983,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,5,10000+,Pvt Ltd,1,336,0
9550,city_74,0.579,Male,Has relevent experience,Full time course,Graduate,STEM,8,,,1,21,0
21768,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,22,1
16783,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,9,10000+,Public Sector,1,92,0
27781,city_67,0.855,Male,No relevent experience,no_enrollment,High School,,<1,,,never,37,0
10409,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Pvt Ltd,>4,84,0
28378,city_21,0.624,Male,No relevent experience,Part time course,Masters,STEM,8,1000-4999,Pvt Ltd,1,28,0
13135,city_138,0.836,Male,Has relevent experience,no_enrollment,Masters,STEM,14,,,1,6,0
28668,city_103,0.92,,No relevent experience,Part time course,Graduate,STEM,10,,,1,16,1
1261,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,,,2,100,1
33077,city_102,0.804,Female,Has relevent experience,Full time course,Masters,STEM,10,1000-4999,Pvt Ltd,>4,62,1
5942,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,4,50-99,Pvt Ltd,1,16,0
13703,city_104,0.924,Male,Has relevent experience,no_enrollment,Graduate,STEM,14,<10,Pvt Ltd,4,166,0
17942,city_67,0.855,Female,Has relevent experience,Full time course,Graduate,STEM,8,50-99,Pvt Ltd,2,66,0
16414,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,Oct-49,Pvt Ltd,1,53,0
18002,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,182,1
8906,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,17,50-99,Pvt Ltd,2,11,0
20619,city_31,0.807,Female,No relevent experience,no_enrollment,Masters,STEM,5,,,1,94,0
22503,city_21,0.624,,Has relevent experience,Full time course,Graduate,STEM,3,,,,72,0
11326,city_103,0.92,Male,No relevent experience,no_enrollment,,,3,,,never,92,0
191,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,48,0
374,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,5000-9999,Public Sector,2,27,0
28555,city_21,0.624,Male,No relevent experience,Full time course,High School,,3,,,never,28,1
21330,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,21,0
25352,city_116,0.743,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,<10,,1,118,0
32071,city_16,0.91,Male,No relevent experience,Full time course,Graduate,STEM,4,50-99,Pvt Ltd,1,9,1
13486,city_114,0.926,Male,Has relevent experience,Part time course,Masters,Other,19,50-99,Pvt Ltd,2,4,0
7635,city_89,0.925,Male,Has relevent experience,Full time course,Graduate,STEM,11,50-99,,,270,0
24904,city_57,0.866,Male,Has relevent experience,Part time course,Masters,STEM,<1,50-99,,1,18,0
14328,city_14,0.698,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,2,Oct-49,Pvt Ltd,1,198,1
1976,city_11,0.55,,Has relevent experience,no_enrollment,Graduate,STEM,8,Oct-49,Other,1,37,1
16187,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,1,44,0
26972,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,5000-9999,,1,34,0
27080,city_83,0.923,,Has relevent experience,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,>4,104,0
22184,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,81,0
23772,city_28,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,4,6,0
22051,city_46,0.762,Male,Has relevent experience,no_enrollment,Masters,STEM,4,,Pvt Ltd,3,34,1
30659,city_46,0.762,Male,No relevent experience,Full time course,Graduate,STEM,3,,,>4,12,1
13558,city_67,0.855,,Has relevent experience,Full time course,Masters,STEM,10,10000+,Pvt Ltd,1,82,0
20638,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,2,100-500,Pvt Ltd,1,40,1
12774,city_41,0.827,Female,No relevent experience,no_enrollment,Graduate,STEM,18,,,>4,12,0
15889,city_16,0.91,,Has relevent experience,no_enrollment,Graduate,STEM,6,500-999,Public Sector,1,150,0
25261,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,4,112,0
11756,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,,,1,162,1
14507,city_67,0.855,Male,No relevent experience,no_enrollment,Masters,STEM,3,10000+,Pvt Ltd,1,6,0
32968,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,STEM,3,50-99,,1,32,0
3159,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Other,>4,48,1
30589,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,50-99,Pvt Ltd,3,196,1
21794,city_27,0.848,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,<10,Pvt Ltd,1,39,0
21620,city_21,0.624,Female,Has relevent experience,Full time course,Graduate,STEM,3,50-99,Pvt Ltd,1,15,1
23102,city_104,0.924,,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,43,0
24042,city_21,0.624,Male,No relevent experience,no_enrollment,Graduate,STEM,6,,,2,64,1
27414,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,10000+,Pvt Ltd,1,9,0
28998,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,50-99,Pvt Ltd,>4,17,0
11815,city_136,0.897,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Funded Startup,1,31,0
12427,city_21,0.624,Female,No relevent experience,no_enrollment,Masters,STEM,5,50-99,Pvt Ltd,never,23,0
7452,city_114,0.926,Male,No relevent experience,Full time course,High School,,6,,,never,45,0
9143,city_16,0.91,,Has relevent experience,no_enrollment,High School,,6,100-500,Pvt Ltd,1,74,0
5218,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,1,96,0
22626,city_104,0.924,Male,Has relevent experience,Full time course,Graduate,STEM,6,50-99,Pvt Ltd,1,86,0
18678,city_114,0.926,Male,Has relevent experience,Part time course,Graduate,STEM,5,<10,Pvt Ltd,2,27,0
5210,city_16,0.91,Male,No relevent experience,no_enrollment,Graduate,STEM,11,100-500,Pvt Ltd,1,12,0
20312,city_175,0.776,Male,Has relevent experience,Part time course,Graduate,STEM,10,<10,Pvt Ltd,1,31,1
4642,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,NGO,1,8,0
13384,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,16,50-99,Pvt Ltd,>4,16,0
26265,city_103,0.92,Male,No relevent experience,no_enrollment,Graduate,Business Degree,15,50-99,Public Sector,1,108,1
29224,city_103,0.92,Male,No relevent experience,no_enrollment,High School,,1,,,1,20,0
27889,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,16,50-99,Pvt Ltd,>4,3,0
11054,city_74,0.579,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,50-99,Pvt Ltd,1,14,1
7147,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,15,10000+,,1,96,0
5023,city_141,0.763,Male,Has relevent experience,Full time course,Masters,STEM,2,50-99,Pvt Ltd,never,55,0
11467,city_114,0.926,Male,No relevent experience,Full time course,Graduate,STEM,10,,,1,70,0
22344,city_21,0.624,Male,No relevent experience,Full time course,High School,,<1,,,never,61,1
11251,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,50-99,Pvt Ltd,>4,151,0
16114,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,8,10000+,Pvt Ltd,1,7,0
11542,city_27,0.848,,Has relevent experience,no_enrollment,Graduate,STEM,6,100-500,Pvt Ltd,4,139,0
21542,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,3,100-500,Funded Startup,1,59,0
17427,city_65,0.802,,Has relevent experience,no_enrollment,Masters,STEM,8,5000-9999,Pvt Ltd,1,102,0
14154,city_103,0.92,,No relevent experience,no_enrollment,Masters,STEM,14,5000-9999,Public Sector,>4,66,1
15968,city_73,0.754,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,100-500,Pvt Ltd,1,3,0
8981,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,Humanities,6,,Public Sector,2,96,1
24144,city_28,0.939,Male,Has relevent experience,Part time course,High School,,3,5000-9999,Pvt Ltd,>4,166,0
29412,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,9,10000+,Pvt Ltd,2,156,0
25299,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,64,0
240,city_10,0.895,Male,No relevent experience,no_enrollment,High School,,7,,,>4,86,0
30602,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,>20,<10,Pvt Ltd,never,20,0
5432,city_21,0.624,,No relevent experience,no_enrollment,Graduate,STEM,<1,,,2,25,0
11765,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Pvt Ltd,>4,14,0
29032,city_16,0.91,Female,Has relevent experience,no_enrollment,Graduate,STEM,12,Oct-49,Pvt Ltd,3,10,0
2350,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,13,Oct-49,Pvt Ltd,2,145,1
23372,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,129,0
29466,city_103,0.92,,No relevent experience,no_enrollment,High School,,2,,,never,37,0
26349,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,1,13,1
14612,city_21,0.624,Male,Has relevent experience,Full time course,Masters,STEM,4,1000-4999,Pvt Ltd,1,320,1
14121,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,3,100-500,NGO,1,109,1
32288,city_103,0.92,,Has relevent experience,Full time course,High School,,9,,,4,56,0
29540,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,9,<10,Pvt Ltd,1,98,0
13892,city_103,0.92,Male,No relevent experience,Full time course,High School,,3,,,1,46,0
23149,city_114,0.926,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,>4,19,0
13804,city_61,0.913,Male,Has relevent experience,no_enrollment,Primary School,,7,100-500,Pvt Ltd,1,9,0
19108,city_160,0.92,Male,Has relevent experience,no_enrollment,,,20,100-500,Pvt Ltd,>4,20,0
6075,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,Pvt Ltd,3,50,0
6493,city_75,0.939,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,2,68,0
1464,city_103,0.92,Male,No relevent experience,no_enrollment,Primary School,,1,,Pvt Ltd,never,57,0
18661,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,6,,,2,39,1
29359,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,7,10000+,Pvt Ltd,2,37,0
22374,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,11,1000-4999,Pvt Ltd,2,10,1
29675,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,4,138,0
24895,city_21,0.624,,Has relevent experience,no_enrollment,Graduate,STEM,4,500-999,NGO,2,17,1
23377,city_90,0.698,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Public Sector,3,24,0
11231,city_103,0.92,,No relevent experience,Full time course,Graduate,STEM,5,100-500,Pvt Ltd,,24,0
7686,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,3,,,1,270,1
23300,city_160,0.92,,No relevent experience,Full time course,Graduate,STEM,3,Oct-49,Funded Startup,1,123,0
29608,city_71,0.884,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,,1,51,0
23753,city_64,0.666,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,52,0
33287,city_21,0.624,Male,No relevent experience,Full time course,Graduate,STEM,<1,,,never,64,1
9775,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,100-500,Pvt Ltd,1,39,0
8634,city_61,0.913,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,,,>4,50,0
7345,city_50,0.896,Male,No relevent experience,Full time course,High School,,4,,,never,188,0
5929,city_16,0.91,Male,Has relevent experience,no_enrollment,Masters,STEM,10,50-99,Pvt Ltd,4,56,0
11372,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,9,100-500,Pvt Ltd,1,17,0
19767,city_50,0.896,Male,Has relevent experience,no_enrollment,Graduate,STEM,4,,,1,66,0
7660,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,27,0
32306,city_21,0.624,Female,Has relevent experience,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,1,14,1
31803,city_103,0.92,,Has relevent experience,no_enrollment,Masters,STEM,10,,,1,112,1
29952,city_75,0.939,Male,Has relevent experience,no_enrollment,Masters,STEM,7,100-500,Pvt Ltd,1,112,0
17505,city_16,0.91,,No relevent experience,Full time course,Graduate,STEM,6,,,,46,0
5114,city_103,0.92,,Has relevent experience,,Graduate,STEM,3,50-99,Funded Startup,1,52,0
4142,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,STEM,13,1000-4999,NGO,>4,30,1
29685,city_142,0.727,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,100-500,Pvt Ltd,4,22,0
12171,city_28,0.939,,No relevent experience,Full time course,High School,,9,,,never,6,0
16862,city_73,0.754,Male,Has relevent experience,Part time course,Graduate,STEM,6,100-500,Pvt Ltd,1,106,0
32062,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,100-500,Funded Startup,1,34,0
1506,city_103,0.92,,Has relevent experience,no_enrollment,Graduate,STEM,8,100-500,Pvt Ltd,1,176,0
14823,city_21,0.624,Male,No relevent experience,Part time course,Graduate,No Major,5,<10,Early Stage Startup,4,46,1
16814,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,62,0
18234,city_103,0.92,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,100-500,Funded Startup,2,112,1
30734,city_145,0.555,Male,No relevent experience,no_enrollment,Graduate,Humanities,1,,,never,26,1
26173,city_19,0.682,Male,No relevent experience,no_enrollment,High School,,<1,,,never,51,0
12738,city_28,0.939,Male,Has relevent experience,Full time course,High School,,8,,,>4,85,0
15050,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,500-999,Pvt Ltd,2,30,0
1998,city_67,0.855,Male,Has relevent experience,no_enrollment,Graduate,STEM,15,100-500,NGO,1,21,0
21981,city_103,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,8,,,1,3,0
30002,city_103,0.92,Male,Has relevent experience,no_enrollment,Masters,Humanities,<1,<10,Funded Startup,1,87,0
27023,city_136,0.897,Male,No relevent experience,Part time course,Graduate,STEM,2,<10,,1,85,0
29237,city_21,0.624,Male,Has relevent experience,Full time course,Graduate,STEM,6,100-500,Pvt Ltd,1,78,0
11060,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,100-500,Pvt Ltd,3,155,0
3050,city_136,0.897,Male,Has relevent experience,Part time course,Graduate,STEM,5,50-99,Pvt Ltd,4,58,0
33210,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,500-999,,1,56,0
17784,city_101,0.558,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,Oct-49,Pvt Ltd,1,204,0
10670,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,500-999,Pvt Ltd,1,78,1
17776,city_160,0.92,Male,No relevent experience,Full time course,Graduate,STEM,5,,,1,190,0
5530,city_50,0.896,Male,Has relevent experience,Part time course,Graduate,STEM,19,50-99,Pvt Ltd,1,80,0
23586,city_98,0.949,Male,Has relevent experience,no_enrollment,Graduate,STEM,>20,,,>4,37,0
16897,city_21,0.624,Female,No relevent experience,Full time course,High School,,3,,,never,140,0
21419,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,STEM,7,50-99,Pvt Ltd,1,56,0
4964,city_97,0.925,Male,Has relevent experience,no_enrollment,Graduate,STEM,6,50-99,Other,1,112,0
14312,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,,,>4,113,0
27791,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,5,<10,Early Stage Startup,1,17,1
15126,city_67,0.855,Male,No relevent experience,no_enrollment,,,<1,,,never,62,0
6936,city_21,0.624,,Has relevent experience,no_enrollment,Masters,STEM,3,Oct-49,Pvt Ltd,1,36,0
5592,city_144,0.84,,Has relevent experience,Part time course,Graduate,STEM,14,500-999,Public Sector,2,92,0
4888,city_67,0.855,Female,Has relevent experience,no_enrollment,Graduate,Other,3,100-500,Pvt Ltd,1,42,0
1415,city_16,0.91,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,<10,Early Stage Startup,2,26,0
6514,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,100-500,Funded Startup,1,19,0
28749,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,3,100-500,Funded Startup,1,82,0
13289,city_102,0.804,Male,Has relevent experience,no_enrollment,Graduate,STEM,12,500-999,Pvt Ltd,2,103,0
2477,city_21,0.624,Male,Has relevent experience,no_enrollment,Masters,Other,11,,,>4,77,1
19595,city_136,0.897,Male,Has relevent experience,no_enrollment,Masters,STEM,9,Oct-49,Funded Startup,1,96,0
13510,city_136,0.897,,Has relevent experience,no_enrollment,Masters,STEM,10,Oct-49,Pvt Ltd,>4,2,0
28362,city_160,0.92,Male,Has relevent experience,no_enrollment,Graduate,No Major,19,Oct-49,Pvt Ltd,>4,42,0
